iter	Passed	Remaining
0	4	409
1	7	390
2	11	380
3	15	369
4	19	375
5	23	367
6	27	365
7	31	362
8	35	361
9	39	356
10	42	343
11	45	331
12	47	318
13	50	308
14	52	295
15	53	282
16	55	270
17	56	258
18	58	248
19	59	239
20	61	230
21	62	221
22	63	213
23	64	205
24	65	197
25	66	190
26	68	184
27	69	177
28	70	172
29	71	166
30	72	160
31	73	155
32	73	150
33	74	145
34	75	140
35	76	135
36	77	131
37	78	127
38	78	123
39	79	119
40	80	115
41	81	112
42	82	108
43	82	105
44	83	102
45	84	99
46	85	96
47	86	93
48	87	90
49	87	87
50	88	85
51	89	82
52	90	80
53	91	77
54	92	75
55	92	73
56	93	70
57	94	68
58	95	66
59	96	64
60	97	62
61	97	59
62	98	57
63	99	55
64	100	54
65	101	52
66	101	50
67	102	48
68	103	46
69	104	44
70	105	43
71	106	41
72	106	39
73	107	37
74	108	36
75	109	34
76	110	32
77	111	31
78	112	29
79	112	28
80	113	26
81	114	25
82	115	23
83	116	22
84	117	20
85	118	19
86	118	17
87	119	16
88	120	14
89	121	13
90	122	12
91	123	10
92	123	9
93	124	7
94	125	6
95	126	5
96	127	3
97	128	2
98	128	1
99	129	0
